Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
SOUTHWEST WASHINGTON WORKFORCE DEVELOPMENT COUNCIL,01-0726348,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6371985.0,6319219.0,52766.0
ALVEOLI CORPORATION,01-0728178,"Lung Disease (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,800041.0,718396.0,81645.0
TMG FOUNDATION,01-0750822,"Single Organization Support (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2455027.0,151919.0,2303108.0
DAVIS FAMILY FOUNDATION,01-0751429,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,72692592.0,48031914.0,
AMERICAN ACADEMY OF DEVELOPMENT MEDICINE AND DENTISTRY,01-0751843,Research Institutes and/or Public Policy Analysis (Health — General and Rehabilitative),Yes,2020.0,542828.0,385147.0,157681.0
PITTSBURGH REGIONAL HEALTHCARE INITIATIVE,01-0752319,Research Institutes and/or Public Policy Analysis (Health — General and Rehabilitative),Yes,2020.0,695933.0,629071.0,66862.0
G ZACHARY GUND FOUNDATION,01-0752786,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2858804.0,743819.0,
BANGS FAMILY FOUNDATION,01-0756380,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1050620.0,130453.0,
DEJACO FOUNDATION,01-0758839,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,579775.0,68478.0,
OHIO ASSOC OF COUNTY BEHAVIORAL HEALTH AUTHORITIES FOUNDATION,01-0762655,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1425591.0,1433140.0,
ASHNER FAMILY EVERGREEN FOUNDATION,01-0772925,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,782176.0,669600.0,
CENTER FOR AUTOMOTIVE RESEARCH,01-0779978,"Research Institutes and/or Public Policy Analysis (Science and Technology Research Institutes, Services)",Yes,2020.0,2761929.0,3440571.0,
MOORE FREE AND CHARITABLE CLINIC INC,01-0781234,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,23933358.0,23669939.0,263419.0
BOUKAI FAMILY FOUNDATION,01-0788855,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,543263.0,471500.0,
ANGELL FOUNDATION,01-0789717,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10821921.0,8580163.0,
ASCENSION ST JOSEPH FOUNDATION,01-0790428,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,746460.0,181789.0,564671.0
KLUNGNESS FAMILY FOUNDATION INC,01-0791882,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3193658.0,228541.0,
MEAN STREET MINISTRY,01-0797012,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,764464.0,615133.0,149331.0
THE HARRY M MIRIAM C & WILLIAM C,01-0810723,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,606029.0,371933.0,
HEALTH IMPROVEMENT PARTNERSHIP OF SANTA CRUZ COUNTY INC,01-0826156,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,1195859.0,1331749.0,
JEWISHCOLORADO,01-0831698,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,13645129.0,15030995.0,
LIONS EYE INSTITUTE FOR TRANSPLANT & RESEARCH FOUNDATION INC,01-0843838,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,839627.0,768233.0,71394.0
GARIPPA FOUNDATION INC,01-0846118,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,905894.0,89815.0,
RESTORATION CENTER INC,01-0846888,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,605619.0,554275.0,51344.0
KALT FAMILY FOUNDATION,01-0852305,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1442970.0,433088.0,
GREGORY L GIBSON CHARITABLE FOUNDATION INC,01-0852643,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,661786.0,371272.0,
TABAT FAMILY FOUNDATION INC,01-0852699,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,813083.0,873370.0,
CENTER FOR CIVIC POLICY,01-0869701,"Research Institutes and/or Public Policy Analysis (Public, Society Benefit — Multipurpose and Other)",Yes,2020.0,2946655.0,1343049.0,1603606.0
COMMUNITY FOUNDATION OF HARFORD COUNTY INC,01-0880770,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,552992.0,327038.0,225954.0
COMIC RELIEF INC,01-0885377,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,42376626.0,39317166.0,3059460.0
MILES FOR MIGRAINE,01-0910791,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,3026284.0,2461546.0,564738.0
BROWN ADVISORY CHARITABLE FOUNDATION INC,01-0912891,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1247254.0,1146861.0,
COMMUNITY FIRST-AMERICAS CHARITIES,01-0914846,"Single Organization Support (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1636777.0,1603909.0,32868.0
COMMUNITY VENTURES,01-0919727,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,905103.0,817934.0,87169.0
ELECTRIFICATION COALITION FOUNDATION,01-0927327,"Research Institutes and/or Public Policy Analysis (Environmental Quality, Protection and Beautification )",Yes,2020.0,2867501.0,2124180.0,743321.0
GENESIS HEALTHCARE INC,01-0932846,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,45906380.0,27055240.0,18851140.0
THE NEW YORK MILK BANK INC,01-0934160,Nonmonetary Support N.E.C. (Health — General and Rehabilitative),Yes,2020.0,1234141.0,1186148.0,47993.0
AGEE FAMILY FOUNDATION,01-0939828,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,523079.0,647389.0,
JANE PAULEY COMMUNITY HEALTH CENTER INC,01-0945309,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,30253172.0,28430273.0,1822899.0
MASIMO FOUNDATION FOR ETHICS INNOVATION & COMPETITION IN HEALTH,01-0956020,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2603218.0,2880089.0,
DRISCOLL HEALTHCARE SERVICES,01-0962276,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,4749160.0,12559311.0,
NATIONAL MEDICAL FELLOWSHIPS INC,01-0963657,"Health, General and Financing (Health — General and Rehabilitative)",Yes,2020.0,3575737.0,3651691.0,
BRING CHANGE 2 MIND,01-0974537,"Mental Health, Crisis Intervention N.E.C.",Yes,2020.0,2062987.0,1714152.0,348835.0
UNITED WAY OF KENNEBEC VALLEY,01-6004404,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2107263.0,1819055.0,288208.0
BIGELOW LABORATORY FOR OCEAN SCIENCES,01-6006001,"Marine Science and Oceanography (Science and Technology Research Institutes, Services)",Yes,2021.0,19007017.0,14437344.0,4569673.0
UNITED MID-COAST CHARITIES INC,01-6009240,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,806782.0,759626.0,47156.0
ISLANDS COMMUNITY MEDICAL SERVICES INC,01-6012835,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,3364789.0,3034028.0,330761.0
MEDICAL CARE DEVELOPMENT INCORPORATED,01-6022787,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,37047180.0,35939936.0,1107244.0
HEALTHREACH COMMUNITY HEALTH CENTERS,01-6023664,"Health Treatment Facilities, Primarily Outpatient (E39Z) (Health — General and Rehabilitative)",Yes,2020.0,27769400.0,24859953.0,2909447.0
MILESTONE RECOVERY,01-6024344,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,3525196.0,3420200.0,104996.0
PALMER WALBRIDGE FOUNDATION TR,01-6174485,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,739164.0,557944.0,
HERBERT S AND ELEANORE L HOWARD CHARITABLE FOUNDATION,01-6177361,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,686787.0,185327.0,
FAITH F SMALL FOUNDATION TR,01-6185817,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2000000.0,2000000.0,
ELLIOT HEALTH SYSTEM PROF & GEN LIAB INS TRUST,01-6217452,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,1001515.0,7789942.0,
ANNE AND PAUL MARCUS FAMILY FOUNDATION,01-6220476,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,954925.0,719544.0,
CHRIS HESS FOUNDATION,01-6225742,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,706176.0,688484.0,
VALLEY REGIONAL HOSPITAL INC,02-0222118,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,46047216.0,43633521.0,2413695.0
COMMUNITY COUNCIL OF NASHUA N H INC,02-0222121,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2021.0,25798859.0,18243805.0,7555054.0
GRANITE VNA INC,02-0222122,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,34481409.0,36643646.0,
EXETER HEALTH RESOURCES,02-0222126,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,15547213.0,15433094.0,114119.0
HITCHCOCK FOUNDATION,02-0222139,Fund Raising and/or Fund Distribution (Medical Research),Yes,2020.0,5105157.0,2557360.0,2547797.0
MARY HITCHCOCK MEMORIAL HOSPITAL,02-0222140,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,1454984640.0,1479327805.0,
HGRL,02-0222150,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,184765489.0,201223449.0,
LITTLETON HOSPITAL ASSOCIATION,02-0222152,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,100362959.0,101936281.0,
MEMORIAL HOSPITAL,02-0222156,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,75917445.0,75085354.0,832091.0
MONADNOCK COMMUNITY HOSPITAL,02-0222157,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,103082260.0,92089045.0,10993215.0
BREATHE NEW HAMPSHIRE,02-0222170,"Lung Disease (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,1942536.0,755751.0,1186785.0
THE NEW LONDON HOSPITAL ASSOCIATION INC,02-0222171,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,65376393.0,66548719.0,
VNA HOME HEALTH & HOSPICE SERVICES INC,02-0222241,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,17480375.0,15863394.0,1616981.0
WEEKS MEDICAL CENTER,02-0222242,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,61689865.0,56343041.0,5346824.0
ALICE PECK DAY MEMORIAL HOSPITAL,02-0222791,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,73081604.0,71332262.0,1749342.0
COTTAGE HOSPITAL,02-0223321,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,36145158.0,35303732.0,841426.0
HUGGINS HOSPITAL,02-0223332,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,72463424.0,68252278.0,4211146.0
MOUNT WASHINGTON OBSERVATORY,02-0225135,"Astronomy (Science and Technology Research Institutes, Services)",Yes,2021.0,1756723.0,1697873.0,58850.0
SPEARE MEMORIAL HOSPITAL,02-0226774,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,67136959.0,65938223.0,1198736.0
CORNERSTONE VNA,02-0231026,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,16105521.0,14929001.0,1176520.0
ELLIOT HOSPITAL OF THE CITY OF MANCHESTER,02-0232673,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,503607421.0,445640535.0,57966886.0
SPAULDING ACADEMY & FAMILY SERVICES,02-0244216,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,17756505.0,17972850.0,
NATIONAL FEDERATION OF THE BLIND INC,02-0259978,"Eye Diseases, Blindness and Vision Impairments (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,19778511.0,19056298.0,722213.0
MORRISON HOSPITAL ASSOCIATION,02-0262504,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,10435637.0,11352003.0,
SEACOAST MENTAL HEALTH CENTER INC,02-0262862,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2021.0,23051604.0,18344458.0,4707146.0
THE LAKES REGION MENTAL HEALTH CENTER INC,02-0272138,"Psychiatric, Mental Health Hospital (Mental Health, Crisis Intervention)",Yes,2021.0,18841874.0,15439805.0,3402069.0
PEMI-BAKER HOSPICE & HOME HEALTH,02-0273178,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,4856995.0,4757325.0,99670.0
ROCKINGHAM VISITING NURSE ASSOCIATION AND HOSPICE,02-0274905,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,20083309.0,20573351.0,
FOUNDATION FOR HEALTHY COMMUNITIES,02-0275078,Nonmonetary Support N.E.C. (Health — General and Rehabilitative),Yes,2020.0,13135402.0,13000303.0,135099.0
UPPER CONNECTICUT VALLEY HOSPITAL ASSOCIATION,02-0276210,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,21044923.0,19440703.0,1604220.0
ANDROSCOGGIN VALLEY HOSPITAL INC,02-0280367,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,64332376.0,62028129.0,2304247.0
NORTH COUNTRY HOME HEALTH & HOSPICE AGENCY INC,02-0300637,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,8909654.0,8102732.0,806922.0
GREATER SEACOAST COMMUNITY HEALTH,02-0304203,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,22784662.0,20419876.0,2364786.0
SALEMHAVEN INC,02-0325847,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,15106818.0,12942688.0,2164130.0
BRIDGES DOMESTIC & SEXUAL VIOLENCE SUPPORT SERVICES INC,02-0330733,"Rape Victim Services (Mental Health, Crisis Intervention)",Yes,2021.0,1729136.0,1469300.0,259836.0
SOUTH EASTERN NEW HAMPSHIRE ALCOHOL AND DRUG ABUSE SERVICES,02-0347931,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2021.0,2320273.0,2303708.0,16565.0
COMMUNITY CROSSROADS INC,02-0347939,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,31875056.0,32092043.0,
MANCHESTER ALCOHOLISM REHABILITATION CENTER,02-0349962,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,14324349.0,14792038.0,
COOS COUNTY FAMILY HEALTH SERVICES INC,02-0350051,Reproductive Health Care Facilities and Allied Services (Health — General and Rehabilitative),Yes,2021.0,17339703.0,14929362.0,2410341.0
CHESHIRE MEDICAL CENTER,02-0354549,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,225659551.0,239728736.0,
SOUTHEAST LAND TRUST OF NEW HAMPSHIRE,02-0355374,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,8618518.0,3139528.0,5478990.0
WHITE MOUNTAIN COMMUNITY HEALTH CENTER,02-0358715,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2021.0,1758736.0,1507534.0,251202.0
VNA AT HCS INC,02-0360640,Health - General and Rehabilitative N.E.C.,Yes,2020.0,14764102.0,16245331.0,
SEACOAST MENTAL HEALTH CENTER RESOURCE GROUP INC,02-0395289,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2021.0,791470.0,258463.0,533007.0
VISITING NURSE ASSOCIATION OF MANCHESTER & SOUTHERN NEW HAMPSHIR,02-0395296,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,2036573.0,2050096.0,
VALLEY REGIONAL HEALTHCARE INC,02-0397338,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,2139043.0,3203793.0,
RAYMOND AMBULANCE INC,02-0419693,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,674858.0,729992.0,
CAPITAL REGION HEALTH VENTURES CORPORATION,02-0438264,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,6880329.0,3369271.0,3511058.0
HORIZONS COUNSELING CENTER INC,02-0438582,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,1395405.0,854485.0,540920.0
LAKE SUNAPEE COMMUNITY HEALTH SERVICES,02-0438863,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,1672607.0,1804222.0,
NASHUA REGIONAL CANCER CENTER INC,02-0444860,"Cancer (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,5208710.0,4688878.0,519832.0
FOUNDATION MEDICAL PARTNERS INC,02-0456218,Health - General and Rehabilitative N.E.C.,Yes,2020.0,117018082.0,159479930.0,
AMOSKEAG HEALTH,02-0458174,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,20080252.0,20071490.0,8762.0
MCGREGOR MEMORIAL AMBULANCE INC,02-0460399,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,1132893.0,1225910.0,
ALLIANCE FOR CLINICAL TRIALS IN ONCOLOGY FOUNDATION,02-0464400,Cancer Research (H31Z) (Medical Research),Yes,2020.0,40929536.0,37088250.0,3841286.0
NEW HAMPSHIRE MUSCULOSKELETAL INST- ITUTE,02-0471046,Medical Research N.E.C.,Yes,2020.0,1084052.0,905595.0,178457.0
HUBBARD BROOK RESEARCH FOUNDATION INC,02-0474938,"Research Institutes and/or Public Policy Analysis (Environmental Quality, Protection and Beautification )",Yes,2020.0,646974.0,632194.0,14780.0
MONADNOCK REGIONAL FOUNDATION FOR FAMILY SERVICES INC,02-0481836,"Unknown (T00Z) (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,745149.0,52260.0,692889.0
SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,02-0483054,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,262407741.0,222857131.0,39550610.0
INTOWN MANCHESTER MANAGEMENT INC,02-0485121,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,502213.0,464375.0,37838.0
